postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
SE18,NHS South East London ICB,11,1260,1040,82.5
LS6,NHS West Yorkshire ICB,7,586,484,82.6
WD19,NHS Hertfordshire and West Essex ICB,2,86,71,82.6
LU2,"NHS Bedfordshire, Luton and Milton Keynes ICB",3,277,229,82.7
N4,Multiple regions,6,446,369,82.7
DA5,NHS South East London ICB,1,64,53,82.8
L14,NHS Cheshire and Merseyside ICB,4,215,178,82.8
NG6,NHS Nottingham and Nottinghamshire ICB,4,447,370,82.8
TF1,"NHS Shropshire, Telford and Wrekin ICB",1,122,101,82.8
B14,NHS Birmingham and Solihull ICB,6,509,422,82.9
L13,NHS Cheshire and Merseyside ICB,5,276,229,83.0
LE1,"NHS Leicester, Leicestershire and Rutland ICB",2,112,93,83.0
M9,NHS Greater Manchester ICB,10,657,545,83.0
RM18,NHS Mid and South Essex ICB,5,494,410,83.0
B27,NHS Birmingham and Solihull ICB,3,219,182,83.1
SE20,NHS South East London ICB,4,260,216,83.1
WV6,Multiple regions,5,455,378,83.1
DN41,NHS Humber and North Yorkshire ICB,1,12,10,83.3
E1,NHS North East London ICB,7,1075,895,83.3
SE26,NHS South East London ICB,2,276,230,83.3
BH1,NHS Dorset ICB,2,265,221,83.4
HP2,NHS Hertfordshire and West Essex ICB,4,481,401,83.4
B16,NHS Birmingham and Solihull ICB,3,411,343,83.5
M22,NHS Greater Manchester ICB,6,571,477,83.5
SL0,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,85,71,83.5
BB9,NHS Lancashire and South Cumbria ICB,7,688,575,83.6
NG3,NHS Nottingham and Nottinghamshire ICB,7,555,464,83.6
M14,NHS Greater Manchester ICB,7,509,426,83.7
N14,NHS North Central London ICB,2,172,144,83.7
N20,NHS North Central London ICB,1,104,87,83.7
SE19,Multiple regions,3,356,298,83.7
TQ9,NHS Devon ICB,2,141,118,83.7
CM5,NHS Hertfordshire and West Essex ICB,1,136,114,83.8
E2,NHS North East London ICB,5,463,388,83.8
IG3,NHS North East London ICB,5,551,462,83.8
SE9,NHS South East London ICB,5,767,643,83.8
AL6,NHS Hertfordshire and West Essex ICB,1,112,94,83.9
B33,NHS Birmingham and Solihull ICB,3,471,395,83.9
E14,NHS North East London ICB,8,1134,951,83.9
LU1,"NHS Bedfordshire, Luton and Milton Keynes ICB",7,1523,1278,83.9
UB3,NHS North West London ICB,8,996,836,83.9
BS5,"NHS Bristol, North Somerset and South Gloucestershire ICB",5,908,763,84.0
SW4,NHS South East London ICB,7,583,490,84.0
M40,NHS Greater Manchester ICB,7,516,434,84.1
NW6,Multiple regions,7,803,675,84.1
S9,NHS South Yorkshire ICB,4,339,285,84.1
SE6,NHS South East London ICB,3,502,422,84.1
BH8,NHS Dorset ICB,2,120,101,84.2
M41,NHS Greater Manchester ICB,4,379,319,84.2
NG8,NHS Nottingham and Nottinghamshire ICB,9,710,598,84.2
SE27,NHS South East London ICB,2,241,203,84.2
BR1,NHS South East London ICB,9,983,829,84.3
SW2,NHS South East London ICB,3,344,290,84.3
EN2,NHS North Central London ICB,3,289,244,84.4
HP16,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,45,38,84.4
LS1,NHS West Yorkshire ICB,1,90,76,84.4
E20,NHS North East London ICB,1,239,202,84.5
E7,NHS North East London ICB,10,1020,863,84.6
W8,NHS North West London ICB,3,182,154,84.6
DA14,NHS South East London ICB,2,339,287,84.7
DN15,NHS Humber and North Yorkshire ICB,5,452,383,84.7
ME6,NHS Kent and Medway ICB,1,131,111,84.7
NG32,NHS Lincolnshire ICB,1,72,61,84.7
NW4,NHS North Central London ICB,3,327,277,84.7
B21,NHS Birmingham and Solihull ICB,6,466,395,84.8
B32,NHS Birmingham and Solihull ICB,4,343,291,84.8
DA1,Multiple regions,8,1089,923,84.8
HA0,NHS North West London ICB,10,874,741,84.8
SE10,NHS South East London ICB,6,677,574,84.8
AL3,NHS Hertfordshire and West Essex ICB,3,364,309,84.9
BB2,NHS Lancashire and South Cumbria ICB,8,664,564,84.9
GL19,NHS Gloucestershire ICB,1,53,45,84.9
L23,NHS Cheshire and Merseyside ICB,3,239,203,84.9
LS10,NHS West Yorkshire ICB,4,357,303,84.9
RM16,NHS Mid and South Essex ICB,3,298,253,84.9
TW7,NHS North West London ICB,3,232,197,84.9
BD21,NHS West Yorkshire ICB,1,273,232,85.0
BH5,NHS Dorset ICB,1,200,170,85.0
HU1,NHS Humber and North Yorkshire ICB,3,254,216,85.0
RM3,NHS North East London ICB,10,711,604,85.0
B26,NHS Birmingham and Solihull ICB,8,470,400,85.1
CV1,NHS Coventry and Warwickshire ICB,9,590,502,85.1
LU4,"NHS Bedfordshire, Luton and Milton Keynes ICB",8,955,813,85.1
OL6,NHS Greater Manchester ICB,5,464,395,85.1
B37,NHS Birmingham and Solihull ICB,3,357,304,85.2
BR5,NHS South East London ICB,8,520,443,85.2
EN4,NHS North Central London ICB,3,243,207,85.2
HX1,NHS West Yorkshire ICB,4,647,551,85.2
B29,NHS Birmingham and Solihull ICB,6,346,295,85.3
DA8,NHS South East London ICB,3,450,384,85.3
HA6,NHS North West London ICB,4,293,250,85.3
IG8,NHS North East London ICB,2,129,110,85.3
LS13,NHS West Yorkshire ICB,3,341,291,85.3
NE4,NHS North East and North Cumbria ICB,7,862,735,85.3
RM17,NHS Mid and South Essex ICB,7,651,555,85.3
SE7,NHS South East London ICB,1,150,128,85.3
TQ11,NHS Devon ICB,1,34,29,85.3
W1H,NHS North West London ICB,1,34,29,85.3
BB12,NHS Lancashire and South Cumbria ICB,3,219,187,85.4
E17,NHS North East London ICB,15,1552,1326,85.4
B2,NHS Birmingham and Solihull ICB,1,83,71,85.5
WD23,NHS Hertfordshire and West Essex ICB,3,959,820,85.5
KT22,NHS Surrey Heartlands ICB,2,139,119,85.6
