postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
CO16,NHS Suffolk and North East Essex ICB,1,66,61,92.4
CT12,NHS Kent and Medway ICB,3,185,171,92.4
FY7,NHS Lancashire and South Cumbria ICB,3,236,218,92.4
GL5,NHS Gloucestershire ICB,3,250,231,92.4
NN10,NHS Northamptonshire ICB,4,407,376,92.4
OX4,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",7,786,726,92.4
SE3,NHS South East London ICB,3,301,278,92.4
TA9,NHS Somerset ICB,2,131,121,92.4
TF2,"NHS Shropshire, Telford and Wrekin ICB",2,303,280,92.4
WA1,NHS Cheshire and Merseyside ICB,7,423,391,92.4
B62,NHS Black Country ICB,3,255,236,92.5
BH17,NHS Dorset ICB,2,187,173,92.5
BH21,NHS Dorset ICB,3,293,271,92.5
BS26,NHS Somerset ICB,1,53,49,92.5
CO10,NHS Suffolk and North East Essex ICB,4,359,332,92.5
DN5,NHS South Yorkshire ICB,6,416,385,92.5
DY3,NHS Black Country ICB,6,468,433,92.5
ME16,NHS Kent and Medway ICB,3,322,298,92.5
NG31,NHS Lincolnshire ICB,5,468,433,92.5
NR3,NHS Norfolk and Waveney ICB,6,531,491,92.5
OX16,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",4,796,736,92.5
S44,NHS Derby and Derbyshire ICB,3,187,173,92.5
S75,NHS South Yorkshire ICB,3,308,285,92.5
SM3,NHS South West London ICB,4,334,309,92.5
SP11,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",1,227,210,92.5
ST4,NHS Staffordshire and Stoke-on-Trent ICB,7,442,409,92.5
WR10,NHS Herefordshire and Worcestershire ICB,2,174,161,92.5
YO10,NHS Humber and North Yorkshire ICB,1,40,37,92.5
B49,NHS Coventry and Warwickshire ICB,2,95,88,92.6
CA1,NHS North East and North Cumbria ICB,4,692,641,92.6
CB5,NHS Cambridgeshire and Peterborough ICB,1,68,63,92.6
EX13,NHS Devon ICB,1,95,88,92.6
GU3,NHS Surrey Heartlands ICB,1,121,112,92.6
HU11,NHS Humber and North Yorkshire ICB,1,27,25,92.6
KT3,NHS South West London ICB,4,349,323,92.6
LE17,"NHS Leicester, Leicestershire and Rutland ICB",3,204,189,92.6
LE18,"NHS Leicester, Leicestershire and Rutland ICB",3,351,325,92.6
NR20,NHS Norfolk and Waveney ICB,2,121,112,92.6
OL10,NHS Greater Manchester ICB,5,379,351,92.6
OL2,NHS Greater Manchester ICB,4,394,365,92.6
PL4,NHS Devon ICB,3,378,350,92.6
PR8,NHS Cheshire and Merseyside ICB,7,443,410,92.6
RG12,NHS Frimley ICB,7,1149,1064,92.6
SS3,NHS Mid and South Essex ICB,3,229,212,92.6
WA3,Multiple regions,8,475,440,92.6
BL7,NHS Greater Manchester ICB,2,109,101,92.7
BN26,NHS Sussex ICB,2,124,115,92.7
BS15,"NHS Bristol, North Somerset and South Gloucestershire ICB",3,441,409,92.7
CH60,NHS Cheshire and Merseyside ICB,1,177,164,92.7
DE22,NHS Derby and Derbyshire ICB,3,232,215,92.7
DN40,NHS Humber and North Yorkshire ICB,2,356,330,92.7
DT10,NHS Dorset ICB,1,205,190,92.7
DT7,NHS Dorset ICB,1,41,38,92.7
IP30,NHS Suffolk and North East Essex ICB,1,151,140,92.7
LN13,NHS Lincolnshire ICB,1,41,38,92.7
MK12,"NHS Bedfordshire, Luton and Milton Keynes ICB",1,193,179,92.7
OL1,NHS Greater Manchester ICB,7,424,393,92.7
OX29,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,151,140,92.7
RH6,NHS Surrey Heartlands ICB,2,454,421,92.7
SG2,NHS Hertfordshire and West Essex ICB,1,110,102,92.7
SN3,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",5,685,635,92.7
ST19,NHS Staffordshire and Stoke-on-Trent ICB,2,177,164,92.7
TW15,NHS Surrey Heartlands ICB,4,382,354,92.7
WR4,NHS Herefordshire and Worcestershire ICB,1,123,114,92.7
WS15,NHS Staffordshire and Stoke-on-Trent ICB,5,314,291,92.7
BD23,NHS West Yorkshire ICB,1,167,155,92.8
DE5,NHS Derby and Derbyshire ICB,2,139,129,92.8
DN12,NHS South Yorkshire ICB,5,305,283,92.8
PE29,NHS Cambridgeshire and Peterborough ICB,3,373,346,92.8
SN13,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",2,195,181,92.8
ST15,NHS Staffordshire and Stoke-on-Trent ICB,2,207,192,92.8
TA8,NHS Somerset ICB,1,83,77,92.8
TN9,NHS Kent and Medway ICB,2,345,320,92.8
WF1,NHS West Yorkshire ICB,6,802,744,92.8
WF16,NHS West Yorkshire ICB,3,249,231,92.8
BA2,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",8,704,654,92.9
BD13,NHS West Yorkshire ICB,1,211,196,92.9
BL5,NHS Greater Manchester ICB,2,239,222,92.9
BN23,NHS Sussex ICB,1,56,52,92.9
BR6,NHS South East London ICB,7,481,447,92.9
CH66,NHS Cheshire and Merseyside ICB,2,368,342,92.9
DE72,NHS Derby and Derbyshire ICB,1,98,91,92.9
DT2,NHS Dorset ICB,2,56,52,92.9
EX38,NHS Devon ICB,2,84,78,92.9
GU15,Multiple regions,4,406,377,92.9
HP17,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,113,105,92.9
HU14,NHS Humber and North Yorkshire ICB,1,14,13,92.9
LA22,NHS Lancashire and South Cumbria ICB,1,28,26,92.9
NG33,NHS Lincolnshire ICB,3,85,79,92.9
S13,NHS South Yorkshire ICB,3,311,289,92.9
SG19,"NHS Bedfordshire, Luton and Milton Keynes ICB",2,254,236,92.9
SK8,NHS Greater Manchester ICB,7,608,565,92.9
SL5,NHS Frimley ICB,4,197,183,92.9
SP6,NHS Hampshire and Isle of Wight ICB,1,84,78,92.9
TN31,NHS Sussex ICB,3,127,118,92.9
TS24,NHS North East and North Cumbria ICB,6,551,512,92.9
WV13,NHS Black Country ICB,4,296,275,92.9
WV15,"NHS Shropshire, Telford and Wrekin ICB",1,14,13,92.9
B74,NHS Black Country ICB,1,43,40,93.0
BN24,NHS Sussex ICB,1,129,120,93.0
CO4,NHS Suffolk and North East Essex ICB,4,499,464,93.0
DT6,NHS Dorset ICB,1,142,132,93.0
EX4,NHS Devon ICB,4,384,357,93.0
GL50,NHS Gloucestershire ICB,7,659,613,93.0
GU22,NHS Surrey Heartlands ICB,6,682,634,93.0
HX2,NHS West Yorkshire ICB,3,299,278,93.0
NR30,NHS Norfolk and Waveney ICB,2,359,334,93.0
RG26,NHS Hampshire and Isle of Wight ICB,2,230,214,93.0
RH11,NHS Sussex ICB,6,676,629,93.0
SL4,NHS Frimley ICB,4,373,347,93.0
ST21,NHS Staffordshire and Stoke-on-Trent ICB,1,71,66,93.0
BS8,"NHS Bristol, North Somerset and South Gloucestershire ICB",2,173,161,93.1
CM8,NHS Mid and South Essex ICB,5,464,432,93.1
HD3,NHS West Yorkshire ICB,4,275,256,93.1
LN11,NHS Lincolnshire ICB,3,233,217,93.1
LN4,NHS Lincolnshire ICB,6,318,296,93.1
ME8,NHS Kent and Medway ICB,9,378,352,93.1
MK6,"NHS Bedfordshire, Luton and Milton Keynes ICB",3,231,215,93.1
PL15,NHS Cornwall and the Isles of Scilly ICB,1,173,161,93.1
PO2,NHS Hampshire and Isle of Wight ICB,2,845,787,93.1
RG27,NHS Hampshire and Isle of Wight ICB,1,145,135,93.1
RM14,NHS North East London ICB,3,218,203,93.1
SM7,NHS Surrey Heartlands ICB,2,144,134,93.1
UB9,Multiple regions,2,202,188,93.1
WF8,NHS West Yorkshire ICB,3,349,325,93.1
B79,NHS Staffordshire and Stoke-on-Trent ICB,6,620,578,93.2
CB3,NHS Cambridgeshire and Peterborough ICB,2,161,150,93.2
CT13,NHS Kent and Medway ICB,1,88,82,93.2
CV36,NHS Coventry and Warwickshire ICB,1,88,82,93.2
FY6,NHS Lancashire and South Cumbria ICB,3,236,220,93.2
GL10,NHS Gloucestershire ICB,2,147,137,93.2
GL54,NHS Gloucestershire ICB,3,207,193,93.2
GU8,NHS Surrey Heartlands ICB,3,192,179,93.2
HP12,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,250,233,93.2
M30,NHS Greater Manchester ICB,3,427,398,93.2
NE20,NHS North East and North Cumbria ICB,2,161,150,93.2
NN6,NHS Northamptonshire ICB,4,311,290,93.2
PE20,NHS Lincolnshire ICB,3,161,150,93.2
PE27,NHS Cambridgeshire and Peterborough ICB,3,337,314,93.2
PE7,NHS Cambridgeshire and Peterborough ICB,3,556,518,93.2
SG12,NHS Hertfordshire and West Essex ICB,2,325,303,93.2
SG17,"NHS Bedfordshire, Luton and Milton Keynes ICB",1,219,204,93.2
SS12,NHS Mid and South Essex ICB,3,395,368,93.2
TQ1,NHS Devon ICB,3,296,276,93.2
WR11,NHS Herefordshire and Worcestershire ICB,4,365,340,93.2
AL1,NHS Hertfordshire and West Essex ICB,3,430,401,93.3
BN27,NHS Sussex ICB,4,388,362,93.3
CB10,NHS Hertfordshire and West Essex ICB,1,89,83,93.3
DL3,NHS North East and North Cumbria ICB,5,555,518,93.3
EX9,NHS Devon ICB,1,30,28,93.3
FY4,NHS Lancashire and South Cumbria ICB,5,432,403,93.3
KT12,NHS Surrey Heartlands ICB,6,490,457,93.3
M43,NHS Greater Manchester ICB,3,193,180,93.3
NG11,NHS Nottingham and Nottinghamshire ICB,4,314,293,93.3
NG15,NHS Nottingham and Nottinghamshire ICB,4,390,364,93.3
NN15,NHS Northamptonshire ICB,3,402,375,93.3
NR21,NHS Norfolk and Waveney ICB,1,105,98,93.3
NR35,NHS Norfolk and Waveney ICB,1,89,83,93.3
OL16,NHS Greater Manchester ICB,6,464,433,93.3
PE34,NHS Norfolk and Waveney ICB,1,75,70,93.3
PE37,NHS Norfolk and Waveney ICB,3,165,154,93.3
PO33,NHS Hampshire and Isle of Wight ICB,5,285,266,93.3
PO6,NHS Hampshire and Isle of Wight ICB,1,210,196,93.3
RH8,NHS Surrey Heartlands ICB,1,149,139,93.3
S62,NHS South Yorkshire ICB,3,163,152,93.3
TA1,NHS Somerset ICB,5,699,652,93.3
TN22,NHS Sussex ICB,3,269,251,93.3
TS17,NHS North East and North Cumbria ICB,3,433,404,93.3
WN2,NHS Greater Manchester ICB,5,406,379,93.3
YO16,NHS Humber and North Yorkshire ICB,1,225,210,93.3
YO21,NHS Humber and North Yorkshire ICB,2,120,112,93.3
BH23,Multiple regions,6,348,325,93.4
BN14,NHS Sussex ICB,3,408,381,93.4
BN5,NHS Sussex ICB,1,76,71,93.4
BS34,"NHS Bristol, North Somerset and South Gloucestershire ICB",2,377,352,93.4
BS36,"NHS Bristol, North Somerset and South Gloucestershire ICB",1,122,114,93.4
CV32,NHS Coventry and Warwickshire ICB,3,272,254,93.4
DT9,Multiple regions,4,227,212,93.4
GU2,NHS Surrey Heartlands ICB,2,303,283,93.4
GU5,NHS Surrey Heartlands ICB,2,121,113,93.4
IP31,NHS Suffolk and North East Essex ICB,2,121,113,93.4
KT18,NHS Surrey Heartlands ICB,2,167,156,93.4
LE10,"NHS Leicester, Leicestershire and Rutland ICB",5,473,442,93.4
LE11,"NHS Leicester, Leicestershire and Rutland ICB",7,513,479,93.4
LU7,Multiple regions,5,876,818,93.4
NN18,NHS Northamptonshire ICB,2,441,412,93.4
PE14,NHS Norfolk and Waveney ICB,2,136,127,93.4
SY12,"NHS Shropshire, Telford and Wrekin ICB",1,151,141,93.4
TD15,NHS North East and North Cumbria ICB,2,122,114,93.4
WD7,NHS Hertfordshire and West Essex ICB,1,166,155,93.4
WN5,Multiple regions,5,350,327,93.4
B67,NHS Black Country ICB,3,247,231,93.5
BA4,NHS Somerset ICB,2,153,143,93.5
BS37,"NHS Bristol, North Somerset and South Gloucestershire ICB",4,496,464,93.5
CT4,NHS Kent and Medway ICB,3,356,333,93.5
DH3,NHS North East and North Cumbria ICB,4,275,257,93.5
DN32,NHS Humber and North Yorkshire ICB,3,93,87,93.5
DY13,NHS Herefordshire and Worcestershire ICB,1,169,158,93.5
DY14,"NHS Shropshire, Telford and Wrekin ICB",1,31,29,93.5
EX18,NHS Devon ICB,1,46,43,93.5
GU24,Multiple regions,3,169,158,93.5
HP10,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,231,216,93.5
HP4,NHS Hertfordshire and West Essex ICB,2,169,158,93.5
KT19,NHS Surrey Heartlands ICB,1,139,130,93.5
NR8,NHS Norfolk and Waveney ICB,2,230,215,93.5
RG21,NHS Hampshire and Isle of Wight ICB,2,523,489,93.5
RH14,NHS Sussex ICB,2,201,188,93.5
S61,NHS South Yorkshire ICB,4,279,261,93.5
SK2,NHS Greater Manchester ICB,2,170,159,93.5
SS5,NHS Mid and South Essex ICB,3,231,216,93.5
TN30,NHS Kent and Medway ICB,1,107,100,93.5
WF14,NHS West Yorkshire ICB,1,123,115,93.5
WR15,NHS Herefordshire and Worcestershire ICB,1,62,58,93.5
WV5,NHS Staffordshire and Stoke-on-Trent ICB,3,153,143,93.5
B30,NHS Birmingham and Solihull ICB,2,188,176,93.6
BA1,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",3,203,190,93.6
BH20,NHS Dorset ICB,5,187,175,93.6
BS25,"NHS Bristol, North Somerset and South Gloucestershire ICB",1,94,88,93.6
DN20,Multiple regions,3,234,219,93.6
DN3,NHS South Yorkshire ICB,2,250,234,93.6
HR2,NHS Herefordshire and Worcestershire ICB,4,251,235,93.6
L17,NHS Cheshire and Merseyside ICB,4,220,206,93.6
RG4,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,330,309,93.6
S20,NHS South Yorkshire ICB,4,299,280,93.6
S8,NHS South Yorkshire ICB,6,610,571,93.6
ST5,NHS Staffordshire and Stoke-on-Trent ICB,11,888,831,93.6
TR11,NHS Cornwall and the Isles of Scilly ICB,3,220,206,93.6
TS23,NHS North East and North Cumbria ICB,6,393,368,93.6
WA15,NHS Greater Manchester ICB,6,298,279,93.6
WF3,NHS West Yorkshire ICB,3,297,278,93.6
WR1,NHS Herefordshire and Worcestershire ICB,3,326,305,93.6
CB1,NHS Cambridgeshire and Peterborough ICB,6,447,419,93.7
CT14,NHS Kent and Medway ICB,4,269,252,93.7
CW7,NHS Cheshire and Merseyside ICB,5,444,416,93.7
DN14,NHS Humber and North Yorkshire ICB,4,426,399,93.7
GU4,NHS Surrey Heartlands ICB,1,79,74,93.7
HR6,NHS Herefordshire and Worcestershire ICB,2,207,194,93.7
IG5,NHS North East London ICB,2,142,133,93.7
NE6,NHS North East and North Cumbria ICB,6,511,479,93.7
NE66,NHS North East and North Cumbria ICB,1,127,119,93.7
PE4,NHS Cambridgeshire and Peterborough ICB,1,126,118,93.7
RG22,NHS Hampshire and Isle of Wight ICB,1,508,476,93.7
RH17,NHS Sussex ICB,2,287,269,93.7
WF10,NHS West Yorkshire ICB,5,460,431,93.7
WV12,NHS Black Country ICB,2,143,134,93.7
YO24,NHS Humber and North Yorkshire ICB,4,951,891,93.7
BH19,NHS Dorset ICB,1,48,45,93.8
CM23,NHS Hertfordshire and West Essex ICB,3,448,420,93.8
DL11,NHS Humber and North Yorkshire ICB,2,32,30,93.8
DT1,NHS Dorset ICB,5,259,243,93.8
DY12,NHS Herefordshire and Worcestershire ICB,1,97,91,93.8
DY9,Multiple regions,6,485,455,93.8
HG3,NHS Humber and North Yorkshire ICB,1,81,76,93.8
HP14,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,194,182,93.8
HU18,NHS Humber and North Yorkshire ICB,1,65,61,93.8
ME1,NHS Kent and Medway ICB,4,389,365,93.8
MK7,"NHS Bedfordshire, Luton and Milton Keynes ICB",1,192,180,93.8
NE63,NHS North East and North Cumbria ICB,1,176,165,93.8
PR5,NHS Lancashire and South Cumbria ICB,5,321,301,93.8
SK4,NHS Greater Manchester ICB,3,773,725,93.8
SP9,National Commissioning Hub 1,1,64,60,93.8
SR2,NHS North East and North Cumbria ICB,4,325,305,93.8
SS9,NHS Mid and South Essex ICB,6,533,500,93.8
BH10,NHS Dorset ICB,2,229,215,93.9
BN21,NHS Sussex ICB,3,247,232,93.9
CB9,NHS Suffolk and North East Essex ICB,2,426,400,93.9
FY2,NHS Lancashire and South Cumbria ICB,2,213,200,93.9
GL16,NHS Gloucestershire ICB,1,98,92,93.9
GU27,NHS Surrey Heartlands ICB,1,147,138,93.9
GU35,NHS Hampshire and Isle of Wight ICB,2,247,232,93.9
KT4,Multiple regions,2,214,201,93.9
PE28,NHS Cambridgeshire and Peterborough ICB,4,361,339,93.9
RH4,NHS Surrey Heartlands ICB,2,228,214,93.9
SO20,NHS Hampshire and Isle of Wight ICB,1,98,92,93.9
SO50,NHS Hampshire and Isle of Wight ICB,5,605,568,93.9
TN5,NHS Sussex ICB,1,49,46,93.9
TS12,NHS North East and North Cumbria ICB,3,196,184,93.9
WD3,NHS Hertfordshire and West Essex ICB,4,330,310,93.9
WS4,NHS Black Country ICB,1,181,170,93.9
WS7,NHS Staffordshire and Stoke-on-Trent ICB,2,326,306,93.9
B47,NHS Herefordshire and Worcestershire ICB,2,134,126,94.0
B64,NHS Black Country ICB,3,233,219,94.0
BD24,NHS West Yorkshire ICB,1,50,47,94.0
BH18,NHS Dorset ICB,2,252,237,94.0
CH2,NHS Cheshire and Merseyside ICB,3,265,249,94.0
CT7,NHS Kent and Medway ICB,1,67,63,94.0
CV5,NHS Coventry and Warwickshire ICB,4,215,202,94.0
DN11,NHS South Yorkshire ICB,3,217,204,94.0
EX6,NHS Devon ICB,2,100,94,94.0
HP19,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,168,158,94.0
HP5,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,317,298,94.0
KT14,NHS Surrey Heartlands ICB,3,283,266,94.0
LE13,"NHS Leicester, Leicestershire and Rutland ICB",1,334,314,94.0
MK45,"NHS Bedfordshire, Luton and Milton Keynes ICB",4,420,395,94.0
NN12,NHS Northamptonshire ICB,2,232,218,94.0
NR25,NHS Norfolk and Waveney ICB,1,84,79,94.0
RG20,Multiple regions,2,284,267,94.0
RH16,NHS Sussex ICB,4,436,410,94.0
RH20,NHS Sussex ICB,2,167,157,94.0
S11,NHS South Yorkshire ICB,7,451,424,94.0
S6,NHS South Yorkshire ICB,8,670,630,94.0
SK15,NHS Greater Manchester ICB,5,285,268,94.0
SL6,NHS Frimley ICB,10,828,778,94.0
SN8,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",4,251,236,94.0
SR8,NHS North East and North Cumbria ICB,2,233,219,94.0
TA3,NHS Somerset ICB,2,84,79,94.0
TF9,Multiple regions,3,232,218,94.0
TQ12,NHS Devon ICB,6,498,468,94.0
BA13,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",1,237,223,94.1
BS40,Multiple regions,3,562,529,94.1
CT16,NHS Kent and Medway ICB,4,443,417,94.1
CW5,NHS Cheshire and Merseyside ICB,4,287,270,94.1
DE3,NHS Derby and Derbyshire ICB,2,204,192,94.1
DE74,Multiple regions,2,188,177,94.1
HD5,NHS West Yorkshire ICB,4,238,224,94.1
HP9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,272,256,94.1
LS22,NHS West Yorkshire ICB,3,203,191,94.1
LS25,Multiple regions,6,658,619,94.1
NR1,NHS Norfolk and Waveney ICB,3,337,317,94.1
PL27,NHS Cornwall and the Isles of Scilly ICB,1,51,48,94.1
PO3,NHS Hampshire and Isle of Wight ICB,2,169,159,94.1
PR7,NHS Lancashire and South Cumbria ICB,8,734,691,94.1
SG10,NHS Hertfordshire and West Essex ICB,1,51,48,94.1
SK13,NHS Greater Manchester ICB,4,289,272,94.1
SL9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",3,256,241,94.1
ST11,NHS Staffordshire and Stoke-on-Trent ICB,1,51,48,94.1
TF13,"NHS Shropshire, Telford and Wrekin ICB",1,34,32,94.1
TF4,"NHS Shropshire, Telford and Wrekin ICB",1,119,112,94.1
TQ6,NHS Devon ICB,1,51,48,94.1
CB7,NHS Cambridgeshire and Peterborough ICB,2,329,310,94.2
CM13,NHS Mid and South Essex ICB,1,120,113,94.2
EX16,NHS Devon ICB,4,276,260,94.2
GL52,NHS Gloucestershire ICB,5,535,504,94.2
GU14,NHS Frimley ICB,6,706,665,94.2
GU31,NHS Hampshire and Isle of Wight ICB,1,52,49,94.2
GU9,NHS Frimley ICB,2,226,213,94.2
HP23,NHS Hertfordshire and West Essex ICB,1,377,355,94.2
LA14,NHS Lancashire and South Cumbria ICB,7,445,419,94.2
LA18,NHS Lancashire and South Cumbria ICB,1,69,65,94.2
NN9,NHS Northamptonshire ICB,4,223,210,94.2
NR33,NHS Norfolk and Waveney ICB,5,382,360,94.2
OX49,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,86,81,94.2
TA19,NHS Somerset ICB,3,138,130,94.2
TS25,NHS North East and North Cumbria ICB,3,274,258,94.2
WA12,NHS Cheshire and Merseyside ICB,3,326,307,94.2
YO51,NHS Humber and North Yorkshire ICB,1,121,114,94.2
BA3,Multiple regions,5,369,348,94.3
BN15,NHS Sussex ICB,3,263,248,94.3
CO2,NHS Suffolk and North East Essex ICB,2,476,449,94.3
DE21,NHS Derby and Derbyshire ICB,3,404,381,94.3
DL14,NHS North East and North Cumbria ICB,4,368,347,94.3
DN33,NHS Humber and North Yorkshire ICB,1,210,198,94.3
GL56,NHS Gloucestershire ICB,2,88,83,94.3
GL6,NHS Gloucestershire ICB,4,192,181,94.3
LE19,"NHS Leicester, Leicestershire and Rutland ICB",2,192,181,94.3
LS23,NHS West Yorkshire ICB,1,53,50,94.3
MK15,"NHS Bedfordshire, Luton and Milton Keynes ICB",1,87,82,94.3
NE15,NHS North East and North Cumbria ICB,3,244,230,94.3
NG21,NHS Nottingham and Nottinghamshire ICB,4,264,249,94.3
PO11,NHS Hampshire and Isle of Wight ICB,2,105,99,94.3
RG28,NHS Hampshire and Isle of Wight ICB,1,88,83,94.3
RG5,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,246,232,94.3
RH15,NHS Sussex ICB,3,318,300,94.3
SO17,NHS Hampshire and Isle of Wight ICB,2,88,83,94.3
B96,NHS Herefordshire and Worcestershire ICB,1,36,34,94.4
BA10,NHS Somerset ICB,1,18,17,94.4
CM0,NHS Mid and South Essex ICB,3,180,170,94.4
CM9,NHS Mid and South Essex ICB,3,270,255,94.4
CT15,NHS Kent and Medway ICB,1,36,34,94.4
EX32,NHS Devon ICB,3,413,390,94.4
EX7,NHS Devon ICB,1,90,85,94.4
GL3,NHS Gloucestershire ICB,3,357,337,94.4
HG2,NHS Humber and North Yorkshire ICB,2,177,167,94.4
HR1,NHS Herefordshire and Worcestershire ICB,4,684,646,94.4
ME13,NHS Kent and Medway ICB,2,286,270,94.4
MK11,"NHS Bedfordshire, Luton and Milton Keynes ICB",2,360,340,94.4
MK44,"NHS Bedfordshire, Luton and Milton Keynes ICB",2,71,67,94.4
NE3,NHS North East and North Cumbria ICB,5,479,452,94.4
NE7,NHS North East and North Cumbria ICB,1,108,102,94.4
NR6,NHS Norfolk and Waveney ICB,2,180,170,94.4
PL21,NHS Devon ICB,1,36,34,94.4
PO13,NHS Hampshire and Isle of Wight ICB,3,268,253,94.4
PO20,NHS Sussex ICB,4,413,390,94.4
PR4,NHS Lancashire and South Cumbria ICB,6,378,357,94.4
S60,NHS South Yorkshire ICB,4,496,468,94.4
SR4,NHS North East and North Cumbria ICB,7,517,488,94.4
SS7,NHS Mid and South Essex ICB,7,410,387,94.4
ST2,NHS Staffordshire and Stoke-on-Trent ICB,3,213,201,94.4
SY6,"NHS Shropshire, Telford and Wrekin ICB",1,36,34,94.4
TA21,NHS Somerset ICB,2,216,204,94.4
WF11,NHS West Yorkshire ICB,1,144,136,94.4
WF6,NHS West Yorkshire ICB,3,234,221,94.4
YO41,NHS Humber and North Yorkshire ICB,1,36,34,94.4
BD19,NHS West Yorkshire ICB,3,218,206,94.5
BH24,NHS Hampshire and Isle of Wight ICB,2,165,156,94.5
CH4,NHS Cheshire and Merseyside ICB,2,165,156,94.5
DY11,NHS Herefordshire and Worcestershire ICB,3,310,293,94.5
GL4,NHS Gloucestershire ICB,1,200,189,94.5
IP25,NHS Norfolk and Waveney ICB,2,165,156,94.5
KT15,NHS Surrey Heartlands ICB,1,199,188,94.5
LN12,NHS Lincolnshire ICB,1,73,69,94.5
NR15,NHS Norfolk and Waveney ICB,1,91,86,94.5
PE15,NHS Cambridgeshire and Peterborough ICB,4,348,329,94.5
PO40,NHS Hampshire and Isle of Wight ICB,1,55,52,94.5
S43,NHS Derby and Derbyshire ICB,4,365,345,94.5
WN3,NHS Greater Manchester ICB,7,365,345,94.5
WS11,NHS Staffordshire and Stoke-on-Trent ICB,9,509,481,94.5
BA12,Multiple regions,3,223,211,94.6
BL6,NHS Greater Manchester ICB,2,240,227,94.6
BN18,NHS Sussex ICB,2,149,141,94.6
BS14,"NHS Bristol, North Somerset and South Gloucestershire ICB",2,295,279,94.6
CB8,NHS Suffolk and North East Essex ICB,4,368,348,94.6
CV35,NHS Coventry and Warwickshire ICB,3,242,229,94.6
DH6,NHS North East and North Cumbria ICB,5,315,298,94.6
DL5,NHS North East and North Cumbria ICB,3,367,347,94.6
DN9,NHS Humber and North Yorkshire ICB,1,92,87,94.6
EX15,NHS Devon ICB,3,242,229,94.6
HD9,NHS West Yorkshire ICB,4,298,282,94.6
HP7,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,112,106,94.6
LE9,"NHS Leicester, Leicestershire and Rutland ICB",6,624,590,94.6
LN1,NHS Lincolnshire ICB,5,333,315,94.6
NE46,NHS North East and North Cumbria ICB,3,112,106,94.6
NG16,NHS Nottingham and Nottinghamshire ICB,6,426,403,94.6
PL14,NHS Cornwall and the Isles of Scilly ICB,2,204,193,94.6
RG6,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",2,370,350,94.6
S70,NHS South Yorkshire ICB,7,652,617,94.6
SO30,NHS Hampshire and Isle of Wight ICB,1,240,227,94.6
SO41,NHS Hampshire and Isle of Wight ICB,2,130,123,94.6
SP8,NHS Dorset ICB,1,93,88,94.6
SY5,"NHS Shropshire, Telford and Wrekin ICB",2,92,87,94.6
WA13,NHS Cheshire and Merseyside ICB,2,147,139,94.6
BH22,NHS Dorset ICB,4,208,197,94.7
BS32,"NHS Bristol, North Somerset and South Gloucestershire ICB",2,225,213,94.7
DE75,NHS Derby and Derbyshire ICB,3,265,251,94.7
EX17,NHS Devon ICB,2,187,177,94.7
EX33,NHS Devon ICB,1,94,89,94.7
GU34,NHS Hampshire and Isle of Wight ICB,4,322,305,94.7
HX6,NHS West Yorkshire ICB,2,171,162,94.7
KT17,NHS Surrey Heartlands ICB,3,508,481,94.7
LE8,"NHS Leicester, Leicestershire and Rutland ICB",4,493,467,94.7
MK16,"NHS Bedfordshire, Luton and Milton Keynes ICB",1,243,230,94.7
NE11,NHS North East and North Cumbria ICB,1,75,71,94.7
NR14,NHS Norfolk and Waveney ICB,3,227,215,94.7
PE6,Multiple regions,3,449,425,94.7
PL12,NHS Cornwall and the Isles of Scilly ICB,3,152,144,94.7
PL13,NHS Cornwall and the Isles of Scilly ICB,1,38,36,94.7
SG5,Multiple regions,3,552,523,94.7
SN25,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",2,302,286,94.7
SO40,NHS Hampshire and Isle of Wight ICB,2,303,287,94.7
TR21,NHS Cornwall and the Isles of Scilly ICB,1,19,18,94.7
TS10,NHS North East and North Cumbria ICB,5,361,342,94.7
B60,NHS Herefordshire and Worcestershire ICB,1,97,92,94.8
